worker_id,occupation,ai_exposure,baseline_error_sensitivity,baseline_complexity,baseline_workload,baseline_delegability,skill,digital_capability,trust_ai,verification_discipline,adaptability,early_adopter
1,Analyst,0.74,0.72,1.08,1.04,0.73,0.5023352332128717,0.42072725594524524,0.45901924577565334,0.538552294492553,0.35504799871824755,0
2,Analyst,0.74,0.72,1.08,1.04,0.73,0.44346634462146506,0.6115017990799653,0.6642433165965467,0.5956760176261491,0.49137733911483905,1
3,Analyst,0.74,0.72,1.08,1.04,0.73,0.5724293033269804,0.6097411530841587,0.7600859651492211,0.5973857174888728,0.6988715386189741,1
4,Analyst,0.74,0.72,1.08,1.04,0.73,0.41939270436033926,0.7254922024273477,0.19030112865791055,0.6644855681118182,0.6784522520721803,1
5,Analyst,0.74,0.72,1.08,1.04,0.73,0.7018356409344073,0.8920652250122427,0.29137907930147344,0.5215283964509373,0.7275579276313434,1
6,Analyst,0.74,0.72,1.08,1.04,0.73,0.557543527407584,0.6369589897056295,0.3477752987512921,0.7014226728617952,0.5814368746878075,1
7,Analyst,0.74,0.72,1.08,1.04,0.73,0.5695059741191273,0.46741457694184574,0.46820028177565665,0.595341542368644,0.6190006717673666,1
8,Analyst,0.74,0.72,1.08,1.04,0.73,0.6956942288888204,0.49221549307017415,0.75739596869626,0.48353136950201114,0.5325436552100599,1
9,Analyst,0.74,0.72,1.08,1.04,0.73,0.4274917615619971,0.6686731613954573,0.35899898402976427,0.5855336960280139,0.6424968807079223,0
10,Analyst,0.74,0.72,1.08,1.04,0.73,0.7780329344564019,0.750376480465225,0.4917581855898959,0.5391147464848284,0.5834393172024678,1
11,Analyst,0.74,0.72,1.08,1.04,0.73,0.7780194771455373,0.7129010396057078,0.5298906834020949,0.6167981893989863,0.29911002074425624,0
12,Analyst,0.74,0.72,1.08,1.04,0.73,0.6204785201318181,0.4484294210831651,0.5084460283469535,0.6483226035338423,0.48972260716468907,1
13,Analyst,0.74,0.72,1.08,1.04,0.73,0.5358915052356127,0.6922838571005523,0.37316841006168694,0.6046711316905469,0.7816149462214923,1
