worker_id,pre_absorption,pre_productivity,pre_ai_use,pre_monitoring,pre_redesign,skill,occupation,shock_productivity,shock_quality,productivity_drop,recovery_time,cumulative_loss
1,0.3042839750749433,0.865603748073122,0.6415754762206947,0.7231952717852168,0.4127891693238235,0.5023352332128717,Analyst,0.9431673020498271,0.8914902408041304,-0.07756355397670511,1,0.0
2,0.4690666675831226,0.8796027233351795,0.780926744509835,0.7673766360206976,0.5599352377328897,0.443466344621465,Analyst,0.9472317918371195,0.8512884623050803,-0.06762906850193995,1,0.0
3,0.4790792733081841,0.9277747975173014,0.7976776109765891,0.7835833870167631,0.6369909182205113,0.5724293033269804,Analyst,1.0321017705064508,0.9502213948005146,-0.10432697298914939,1,0.0
4,0.43847964430995684,0.8720738191323442,0.6930061101088608,0.7956648812294067,0.6004329113232254,0.4193927043603392,Analyst,0.9439920021886855,0.925226490328356,-0.07191818305634134,1,0.0
5,0.5509760340713546,0.9936630473409611,0.7721819702487613,0.78571555734884,0.6583494240738025,0.7018356409344073,Analyst,1.0389651360628231,0.9875400266613822,-0.04530208872186203,2,0.024410725559666724
6,0.41650710094694976,0.9165911461144447,0.7209797754929455,0.7969161903913349,0.5774221341192408,0.557543527407584,Analyst,1.0000466594775999,0.9538836355702601,-0.08345551336315515,1,0.0
7,0.35129628882408737,0.900463330118658,0.7003793841805361,0.7607758651615724,0.49360746946464823,0.5695059741191273,Analyst,0.9801542295054707,0.9416569528299622,-0.07969089938681273,1,0.0
8,0.39850025501101805,0.9348369471763904,0.7687030065721345,0.7706599365159201,0.5289681149346743,0.6956942288888204,Analyst,1.0600580566702769,0.9668114047300665,-0.12522110949388643,1,0.0
9,0.3664158558805619,0.8526625303549402,0.6608312447177893,0.7325959838186343,0.5856547625237037,0.4274917615619971,Analyst,0.9583657121487902,0.9001291456039069,-0.10570318179384997,1,0.0
10,0.4337465256983849,0.9774205387161716,0.7835182187841968,0.7931558184433365,0.6026141654392445,0.7780329344564019,Analyst,1.1241665902886373,1.0206664675206472,-0.14674605157246567,1,0.0
11,0.4314456716967642,0.950283938093628,0.7125700820407925,0.8102392553720353,0.5110460931306179,0.7780194771455373,Analyst,1.0859305506131836,0.9968862506535855,-0.13564661251955556,1,0.0
12,0.37273944588476143,0.9085080218226185,0.6955172318344623,0.812692694094029,0.5136592576257509,0.6204785201318181,Analyst,0.9831195514676759,0.9334206515383402,-0.07461152964505746,1,0.0
13,0.4400194035367882,0.8958343165667622,0.7385966745329691,0.7722841901842382,0.6812484332368934,0.5358915052356127,Analyst,1.0513423959889419,0.9609572376233974,-0.1555080794221797,1,0.0
14,0.4521263900224052,0.9359149715492819,0.7497055825667719,0.7130614892351759,0.5913146142538585,0.653126031888168,Analyst,1.064046810297836,0.9550328881147484,-0.12813183874855405,1,0.0
15,0.3407707799301482,0.9175723937704481,0.6587148810170438,0.7432410469549118,0.5832934625451924,0.6828873638227859,Analyst,1.031670705339355,0.9442658137111618,-0.11409831156890693,1,0.0
16,0.31594374280053145,0.8576567549061667,0.7694399500077747,0.6974100017561675,0.47996919360577384,0.4626006468199488,Analyst,0.907585797819031,0.9025352969668248,-0.049929042912864374,1,0.0
17,0.455620380134356,0.9141158858804006,0.7143824243303525,0.8117065076081902,0.5895611096020955,0.5758611483680539,Analyst,0.9926122798581886,0.9727412643980138,-0.07849639397778796,1,0.0
18,0.4015147603000722,0.9049231543518703,0.6909310922053484,0.7986901712330539,0.5304928445101075,0.557060168654075,Analyst,1.0236452052532237,0.9438884622259396,-0.11872205090135335,1,0.0
